,date,news,score,category
0,01月16,盈趣科技：利润率过于优秀,0.8962160765556467,1
4,01月14,2021年1月15日涨停板早知道：七大利好有望发酵,0.6434512293322677,1
5,01月13,2021年1月14日涨停板早知道：七大利好有望发酵,0.6623488804723078,1
6,01月12,2021年1月13日涨停板早知道：七大利好有望发酵,0.6732559175210753,1
7,01月11,2021年1月12日涨停板早知道：七大利好有望发酵,0.5947567701201621,1
8,01月10,2021年1月11日涨停板早知道：七大利好有望发酵,0.5307075484499711,1
9,01月07,2021年1月8日涨停板早知道：七大利好有望发酵,0.71283197339554,1
10,01月06,2021年1月7日涨停板早知道：七大利好有望发酵,0.7112208120332122,1
11,01月05,2021年1月6日涨停板早知道：七大利好有望发酵,0.6563298298057739,1
12,01月04,央行等6部委发布跨境人民币优化政策 产业迎来增量红利(附股),0.35292727711109395,0
18,01月03,2021年1月4日涨停板早知道：七大利好有望发酵,0.6757668814679989,1
19,12月31,德冠新材IPO过会 禁塑令下毛利率落后同行、偿债压力在身,0.04068992254829873,0
26,12月30,2020年12月31日涨停板早知道：七大利好有望发酵,0.7893519655358018,1
32,12月29,2020年12月30日涨停板早知道：七大利好有望发酵,0.6723717887545765,1
33,12月28,2020年12月29日涨停板早知道：七大利好有望发酵,0.6084820313505823,1
35,12月27,2020年12月28日涨停板早知道：七大利好有望发酵,0.6653441955916666,1
36,12月25,我国空间站核心舱明年春季发射 航天相关个股投资价值显现(附股),0.9998251807326544,1
37,12月24,2020年12月25日涨停板早知道：七大利好有望发酵,0.6928000648957024,1
38,12月23,2020年12月24日涨停板早知道：七大利好有望发酵,0.691399315616676,1
40,12月22,2020年12月23日涨停板早知道：七大利好有望发酵,0.6833997503159674,1
42,12月21,3大概念爆巨大利好：国新办重磅发布白皮书 或引领市场关注这些股,0.4183534605779884,0
44,12月20,2020年12月21日涨停板早知道：七大利好有望发酵,0.56935834569192,1
45,12月17,2020年12月18日涨停板早知道：七大利好有望发酵,0.7824949945802057,1
46,12月16,2020年12月17日涨停板早知道：七大利好有望发酵,0.6872853703132064,1
47,12月15,2020年12月16日涨停板早知道：七大利好有望发酵,0.5437470801475573,1
48,12月14,2020年12月15日涨停板早知道：七大利好有望发酵,0.6460624393551746,1
49,12月13,2020年12月14日涨停板早知道：七大利好有望发酵,0.6648937693584114,1
50,12月12,白酒、铁矿石、金融行情已轮番启动 三位一体补涨个股竟然是它,0.6636693211039697,1
53,12月11,AI大潮将来袭：人工智能多领域应用 哪些产业链值得关注？(股),0.9822340721734701,1
55,12月10,三部门深入推进互联网医疗 相关概念股有望受益,0.9453744006207978,1
62,12月09,新冠疫苗接连传利好 概念股机会又来了（附股）,0.7617709090386195,1
67,12月08,2022年苹果或配备潜望式长焦镜头 关注行业龙头机会,0.9767996310490134,1
76,12月07,汽车行业遇“缺芯”：国产芯片的机会来了(附股),0.6531604476666831,1
83,12月06,2020年12月7日涨停板早知道：七大利好有望发酵,0.7135566500182896,1
84,12月04,“十四五”规划推出在即：国产替代迎加速 智能机器人站上风口,0.2924920471019137,0
87,12月03,2020年12月4日涨停板早知道：七大利好有望发酵,0.6782597638920624,1
88,12月02,2020年12月3日涨停板早知道：七大利好有望发酵,0.659060099133319,1
89,12月01,2020年12月2日涨停板早知道：七大利好有望发酵,0.5987475523670053,1
93,11月30,2020年12月1日涨停板早知道：七大利好有望发酵,0.5947567701201621,1
96,11月29,2020年11月30日涨停板早知道：七大利好有望发酵,0.6125993913440019,1
97,11月28,本周114家公司遭股东减持 这5家公司被减持最多（附表格）,0.5063602437513983,1
98,11月26,2020年11月27日涨停板早知道：七大利好有望发酵,0.5828311700714786,1
100,11月25,2020年11月26日涨停板早知道：七大利好有望发酵,0.5709226141257464,1
102,11月24,成功挤掉苹果：小米手机全球销量挺进前三 背后有这些供应商,0.8687767799818036,1
105,11月23,2020年11月24日涨停板早知道：七大利好有望发酵,0.6332045730714689,1
107,11月22,小电车蕴含大市场 机构称未来三年单车产量复合增长率将超30%(股),0.9873690252325346,1
110,11月20,拉尼娜来袭 一文看清相关行业投资机会（附股）,0.9740097037573644,1
112,11月19,2020年11月20日涨停板早知道：七大利好有望发酵,0.5817280845062422,1
117,11月18,2020年11月19日涨停板早知道：七大利好有望发酵,0.5436571727435006,1
120,11月17,2020年11月18日涨停板早知道：七大利好有望发酵,0.7348918635836464,1
124,11月16,2020年11月17日涨停板早知道：七大利好有望发酵,0.6287314215804835,1
129,11月15,2020年11月16日涨停板早知道：七大利好有望发酵,0.47870209635847927,0
130,11月13,政策暖风频吹：多地抓紧布局 关注燃料电池产业链,0.8897394585169955,1
133,11月12,2020年11月13日涨停板早知道：七大利好有望发酵,0.6162517001622296,1
134,11月11,顺周期概念股全面爆发 还有哪些板块可挖掘？,0.8798534315040375,1
137,11月10,2020年11月11日涨停板早知道：七大利好有望发酵,0.4684682287115385,0
138,11月09,辉瑞新冠疫苗有效性超90% 这些疫苗概念股可关注(附股),0.4233982318047088,0
141,11月08,2020年11月9日涨停板早知道：七大利好有望发酵,0.525235993485318,1
142,11月06,航运行业持续高景气 机构：集装箱紧缺状态至少持续半年,0.7000147596774933,1
160,11月05,2020年11月6日涨停板早知道：七大利好有望发酵,0.5981352714052229,1
181,11月04,2020年11月5日涨停板早知道：七大利好有望发酵,0.6640963203098345,1
199,11月03,2020年11月4日涨停板早知道：七大利好有望发酵,0.6189527950139435,1
209,11月02,2020年11月3日涨停板早知道：七大利好有望发酵,0.5983100095517405,1
226,11月01,2020年11月2日涨停板早知道：七大利好有望发酵,0.5348357654962643,1
227,10月30,华为发布亚米级车道导航：高精度定位商用落地再进一步(名单),0.855424878993097,1
229,10月29,2020年10月30日涨停板早知道：七大利好有望发酵,0.6944633982356562,1
231,10月28,2020年10月29日涨停板早知道：七大利好有望发酵,0.632527187492501,1
232,10月27,2020年10月28日涨停板早知道：七大利好有望发酵,0.6876895630495098,1
233,10月26,2020年10月27日涨停板早知道：七大利好有望发酵,0.6675721315997285,1
235,10月25,2020年10月26日涨停板早知道：七大利好有望发酵,0.656657567822721,1
236,10月23,9月份皮卡市场销售同比增长39% 有望继续保持增长态势(附股),0.8618745947370903,1
244,10月22,2020年10月23日涨停板早知道：七大利好有望发酵,0.7050739272307509,1
249,10月21,2020年10月22日涨停板早知道：七大利好有望发酵,0.7651961863988281,1
256,10月20,2020年10月21日涨停板早知道：七大利好有望发酵,0.5942038730339563,1
273,10月19,2020年10月20日涨停板早知道：七大利好有望发酵,0.6665649281532886,1
287,10月18,2020年10月19日涨停板早知道：七大利好有望发酵,0.6313220255168418,1
288,10月15,2020年10月16日涨停板早知道：七大利好有望发酵,0.5689515548806248,1
289,10月14,2020年10月15日涨停板早知道：七大利好有望发酵,0.6690548815204431,1
290,10月13,2020年10月14日涨停板早知道：七大利好有望发酵,0.6872550753311424,1
291,10月12,2020年10月13日涨停板早知道：七大利好有望发酵,0.6977247408842235,1
292,10月11,2020年10月12日涨停板早知道：七大利好有望发酵,0.6218018982585473,1
293,10月08,2020年10月9日涨停板早知道：七大利好有望发酵,0.6139265880410415,1
294,09月29,2020年9月30日涨停板早知道：七大利好有望发酵,0.6649821507843103,1
303,09月28,2020年9月29日涨停板早知道：七大利好有望发酵,0.6005075571181548,1
305,09月27,2020年9月28日涨停板早知道：七大利好有望发酵,0.6578767038162369,1
306,09月24,2020年9月25日涨停板早知道：七大利好有望发酵,0.6856557738226671,1
309,09月23,2020年9月24日涨停板早知道：七大利好有望发酵,0.6842372959251019,1
